ID;Nome;Sexo;Idade;Estado Civil;Identidade;CPF;Cidade;UF;Região;Nº Filhos;Altura;Peso;Saúde;Signo;Telefone Celular;Uso do Celular;Internet;E-mail;Banco;Saldo em Conta;Cartão de Crédito;Dívida no Cartão;TV;Gosta de Games;Gosta de Filmes;Lê Livros;Casa Própria;Ocupação ou Trabalho;Carro;Marca do Carro;Custo Combustivel Mensal;Comida;Ir ao Restaurante;Fruta;Flor;Animal;Esporte;Time de Futebol;Escola do Filhos;Mensalidade Escola;
id-0000010;Hélio;Masculino;55;Casado;Y715158530;30499734312;Sapucaia;PA;Região Norte;4;1,95;60;Não Alérgico;Touro;966085441;Whatsapp;Não tem internet;helio_346@uol.com;Caixa Econômica;989673;Hipercard;Sim;TV pela internet;Não Gosta;Não Gosta;Raramente;Alugada;Sistemas de Telecomunicações;Aris;Edra;254;Caldo de piranha;Gosta;Cagaita;Cufeia;Sapo;Remo;Argentina;Pública;0;
id-0000011;Anthony;Masculino;82;Solteiro;M363818996;72249538354;Campo Novo do Parecis;MT;Região Centro-Oeste;4;1,99;78;Alérgico;Sagitário;987131552;Celular;Wifi;anthony@yahoo.com;Itaú;462982;American Express;Sim;TV pela internet;Gosta;Gosta;Raramente;Emprestada;Engenharia Ambiental e Sanitária;Ka;Ford;68;Cajuzinho;Gosta;Jujuba;Barléria;Ratazana;Boa Forma;Norwich City;Pública;0;
id-0000012;Zoe;Feminino;72;Solteira;Y874967207;95434371124;Calçado;PE;Região Nordeste;1;1,51;97;Não Alérgica;Capricórnio;920040383;Whatsapp;Wifi;zoe_016@terra.com;Santander;444059;Diners Club;Sim;TV pela internet;Não Gosta;Não Gosta;Uma vez por mês;Própria;Secretariado Executivo;PT Cruiser;Chrysler/Dodge;340;Romeu e Julieta;Não Gosta;Uvaia;Lisimáquia;Alce;Bumerangue;Holanda;Particular;372;
id-0000013;Ethan;Masculino;64;Divorciado;R304862589;81145452712;Gaurama;RS;Região Sul;2;1,88;83;Não Alérgico;Capricórnio;987029853;Celular;4G;ethan@gmail.com;Caixa Econômica;56133;Diners Club;Não;TV pela internet;Gosta;Não Gosta;Não;Alugada;Ciências Sociais;Belina ;Ford;298;Caju castanha;Não Gosta;Conde;Girassol;Cisne;Esportes de Inverno;Santa Cruz-RN;Pública;0;
id-0000014;Fabiano;Masculino;45;Casado;R326881744;37555377329;Primavera;PE;Região Nordeste;0;1,54;67;Alérgico;Touro;961988918;Celular;4G;fabiano_131@outlook.com;Banco do Brasil;111485;Visa;Não;TV pela internet;Não Gosta;Não Gosta;Toda semana;Própria;Processos Gerenciais;Bianco Tarpan TS;Bianco;317;Macarrão com carne moída;Não Gosta;Umê;Gérbera;Perdiz;Boliche;São Luiz;Não;x;
id-0000015;Neimar;Masculino;50;Casado;W170889892;25642944244;Indiaroba;SE;Região Nordeste;0;1,74;63;Não Alérgico;Gêmeos;912206604;Whatsapp;4G;neimar@terra.com;Itaú;541091;Hipercard;Sim;TV pela internet;Não Gosta;Não Gosta;Toda semana;Emprestada;Comunicação das Artes do Corpo;Puma Spyder;Puma;80;Queijo de Minas fresco;Gosta;Acerola;Tango;Leopardo;Luta Livre;Atlético-PB;Não;x;
id-0000016;Cora;Feminino;77;Divorciada;Y071334656;64266924452;Jardim;MS;Região Centro-Oeste;0;1,51;84;Alérgica;Câncer;945427702;Whatsapp;4G;cora@bol.com;Santander;939548;Visa;Não;TV pela internet;Não Gosta;Não Gosta;Toda semana;Emprestada;Biotecnologia;Tiggo 2;Chery;302;Pastel de feira;Gosta;Calabura;Caeté;Porquinho-da-índia;Ciclismo;Ji-Paraná;Não;x;
id-0000017;Sávio;Masculino;57;Solteiro;R343729702;52506332827;Santa Bárbara de Goiás;GO;Região Centro-Oeste;0;1,69;77;Não Alérgico;Capricórnio;919774342;Whatsapp;Não tem internet;savio@yahoo.com;Banco do Brasil;918551;American Express;Sim;TV pela internet;Gosta;Não Gosta;Não;Alugada;Engenharia de Materiais;Q3 ;Audi;349;Arroz carreteiro;Gosta;Dovyalis;Sapatinho-de-judia;Ostra;Corfebol;Picos;Não;x;
id-0000018;Derick;Masculino;53;Casado;M659323169;20429431614;Tonantins;AM;Região Norte;3;1,66;91;Alérgico;Leão;965071469;Celular;Wifi;derick_428@uol.com;Caixa Econômica;784416;American Express;Sim;TV pela internet;Não Gosta;Não Gosta;Não;Própria;Sistemas de Telecomunicações;Corolla;Toyota;87;Angú;Não Gosta;Calabura;Amor-perfeito;Chacal;Tchoukball;Cruzeiro-DF;Pública;0;
id-0000019;Margarete;Feminino;59;Casada;W226071321;09459430844;Nova Fátima;BA;Região Nordeste;1;1,59;105;Não Alérgica;Peixes;969461966;Celular;4G;margarete@gmail.com;Bradesco;884122;Hipercard;Sim;TV aberta;Não Gosta;Gosta;Uma vez por mês;Própria;Matemática;IEV 40;JAC;333;Quebra queixo;Não Gosta;Lima Doce;Lupino;Avestruz;Boxe;Passo Fundo;Particular;567;
id-0000020;Elio;Masculino;60;Divorciado;W147029347;41867917364;Lourdes;SP;Região Sudeste;0;1,72;86;Alérgico;Câncer;926571187;Whatsapp;Não tem internet;elio_639@bol.com;Caixa Econômica;127803;Diners Club;Sim;TV pela internet;Gosta;Não Gosta;Uma vez por mês;Alugada;Engenharia de Software;504 Pickup Diesel;Peugeot;307;Galinha à cabidela;Gosta;Fruta-pão;Triális;Bisão;Wakeboard;Araçatuba;Não;x;
id-0000021;Cauã;Masculino;79;Solteiro;M639039693;89684996518;Mamanguape;PB;Região Nordeste;4;1,93;101;Alérgico;Câncer;971099924;Celular;Wifi;caua@gmail.com;Itaú;974456;Mastercard;Não;TV pela internet;Não Gosta;Gosta;Uma vez por mês;Emprestada;Processos Químicos;A-10;Chevrolet;87;Canjica doce;Não Gosta;Salak;Estrelítzia-de-lança;Medusa;Esqui Aquático;Sampaio Corrêa-RJ;Particular;461;
id-0000022;Maxmino;Masculino;58;Casado;M424252638;51645448734;Uruçuca;BA;Região Nordeste;0;1,68;101;Não Alérgico;Capricórnio;902852192;Celular;4G;maxmino@uol.com;Bradesco;396296;Mastercard;Sim;TV pela internet;Gosta;Não Gosta;Raramente;Emprestada;Defesa e Gestão Estratégica Internacional;Puma 7900 (Caminhão);Puma;268;Caruru;Não Gosta;Fruta-do-conde;Sininho;Tigre;Tchoukball;Borussia Dortmund;Não;x;
id-0000023;Elio;Masculino;23;Solteiro;W357979654;81211289615;Bannach;PA;Região Norte;3;1,72;110;Não Alérgico;Gêmeos;996996054;Whatsapp;Banda Larga;elio_595@outlook.com;Caixa Econômica;65163;American Express;Sim;TV por assinatura;Não Gosta;Gosta;Não;Emprestada;Estética e Cosmética;Leaf;Nissan;66;Romeu e Julieta;Não Gosta;Coco ;Maravilha;Garça-real;Atletismo;Quixadá;Pública;0;
id-0000024;Morgana;Feminino;35;Solteira;M430218704;45760082587;Cabeceiras do Piauí;PI;Região Nordeste;4;1,81;89;Não Alérgica;Aquário;935453211;Celular;Banda Larga;morgana_363@terra.com;Itaú;658144;Visa;Não;TV pela internet;Gosta;Não Gosta;Toda semana;Alugada;Processos Metalúrgicos;Range Rover Evoque;Land Rover;132;Pé de Moleque;Gosta;Sapoti;Beri-silvestre Botão-de-ouro;Panda gigante;Boxe;Huesca;Pública;0;
id-0000025;Manuel;Masculino;78;Solteiro;Y426786868;11297763728;Luiz Alves;SC;Região Sul;3;1,80;63;Não Alérgico;Aquário;929993835;Celular;Não tem internet;manuel@uol.com;Bradesco;284253;Diners Club;Não;TV por assinatura;Gosta;Gosta;Toda semana;Alugada;Engenharia de Minas;IEV 40;JAC;179;Cajuzinho;Não Gosta;Pistache;Calanchoê;Alce;Corfebol;Zenit;Particular;399;
id-0000026;Gabriela;Feminino;74;Casada;M624808888;60811391418;Bom Jesus da Lapa;BA;Região Nordeste;2;1,58;86;Alérgica;Escorpião;949631227;Celular;4G;gabriela@outlook.com;Bradesco;2700;Hipercard;Não;TV aberta;Não Gosta;Não Gosta;Raramente;Emprestada;Sistemas Embarcados;Kia Borrego;Kia;73;Tapioca;Não Gosta;Quina;Cravo;Borboleta;Frescobol;Auto Esporte-PB;Particular;574;
id-0000027;Margarida;Feminino;46;Divorciada;M829454866;10804862719;Aquidauana;MS;Região Centro-Oeste;4;1,86;104;Não Alérgica;Câncer;993739803;Celular;Banda Larga;margarida_369@gmail.com;Santander;882139;Elo;Não;TV por assinatura;Gosta;Gosta;Não;Alugada;Produção Multimídia;SM Coupé;Santa Matilde;67;Pizza assado no forno à lenha;Gosta;Babaco;Beijo-de-frade;Cefo;Futevôlei;Taubaté;Particular;578;
id-0000028;Bruno;Masculino;82;Solteiro;R121442253;28988000330;Conquista D´oeste;MT;Região Centro-Oeste;4;1,68;91;Alérgico;Câncer;979607361;Whatsapp;Não tem internet;bruno_538@gmail.com;Caixa Econômica;909457;Elo;Sim;TV aberta;Gosta;Não Gosta;Toda semana;Emprestada;Produção Publicitária;Kia Picanto;Kia;208;Bobó de camarão;Gosta;Olho-De-Boi;Alamanda-roxa;Cobra;Luta Livre;Flamengo;Pública;0;
id-0000029;Lionel;Masculino;58;Divorciado;Y845110435;78628641664;Jatobá do Piauí;PI;Região Nordeste;3;1,84;62;Não Alérgico;Leão;940829236;Celular;4G;lionel@yahoo.com;Banco do Brasil;310947;Hipercard;Sim;TV pela internet;Não Gosta;Não Gosta;Raramente;Alugada;Artes Visuais;Classe A;Mercedes-Benz;71;Peixe na telha;Gosta;Ingá;Tango;Búfalo Africano;Squash;Potiguar de Mossoró;Particular;447;
id-0000030;Silas;Masculino;23;Solteiro;R201251969;64295074674;Santa Cecília do Pavão;PR;Região Sul;1;1,87;70;Não Alérgico;Libra;911929665;Celular;Wifi;silas@gmail.com;Bradesco;204380;Hipercard;Não;TV pela internet;Não Gosta;Não Gosta;Raramente;Emprestada;Serviços Judiciários e Notariais;Vitara;Suzuki;143;Requeijão cremoso;Gosta;Calabaça ;Beijo-pintado;Pombo;Handebol;Gurupi;Pública;0;
id-0000031;Luiz Gustavo;Masculino;53;Casado;Y623789811;67826260445;Bandeira;MG;Região Sudeste;0;1,61;106;Alérgico;Sagitário;974898561;Whatsapp;Não tem internet;luizgustavo_703@outlook.com;Bradesco;251511;Hipercard;Não;TV por assinatura;Gosta;Gosta;Toda semana;Emprestada;Estudos de Mídia;Futura;Grancar;125;Feijoada;Gosta;Mamão ;Chapéu-chinês;Aranha;Peteca;Campinense;Não;x;
id-0000032;Júlia;Feminino;75;Solteira;W263143742;86695893931;Barra do Quaraí;RS;Região Sul;4;1,91;70;Não Alérgica;Aquário;995819810;Celular;4G;julia_234@bol.com;Santander;743854;Mastercard;Sim;TV pela internet;Não Gosta;Gosta;Uma vez por mês;Própria;Agronomia;Limosine Monza ;Avallone;305;Rapadura;Não Gosta;Veludo;Beijo-de-frade;Gauro;Futebol Americano;Ceará;Particular;305;
id-0000033;Danielle;Feminino;44;Casada;Y695022225;82284231377;Ipuiúna;MG;Região Sudeste;4;1,99;71;Não Alérgica;Capricórnio;969846500;Celular;Wifi;danielle@outlook.com;Banco do Brasil;241687;Diners Club;Sim;TV por assinatura;Gosta;Não Gosta;Toda semana;Própria;História da Arte;Uno/Mille;Fiat;97;Feijoada;Não Gosta;Laranja ;Flox;Cotovia;Skate;Estados Unidos;Pública;0;
id-0000034;Lucas;Masculino;30;Divorciado;Y914497904;69477154963;Carmésia;MG;Região Sudeste;3;1,67;68;Não Alérgico;Capricórnio;960677650;Celular;Wifi;lucas_089@bol.com;Caixa Econômica;985623;Elo;Sim;TV pela internet;Não Gosta;Gosta;Raramente;Própria;Engenharia da Computação;Ka;Ford;272;Farofa de içá;Não Gosta;Dovyalis;Gengibre-vermelho;Falcão;Esqui Aquático;Iguatu;Particular;485;
id-0000035;Charles;Masculino;39;Solteiro;Y129139547;24487681105;Alenquer;PA;Região Norte;1;1,52;87;Alérgico;Gêmeos;922023351;Celular;4G;charles@outlook.com;Itaú;770003;Hipercard;Sim;TV por assinatura;Gosta;Gosta;Toda semana;Emprestada;História da Arte;Pajero;Mitsubishi;242;Furrundum;Gosta;Tâmara;Flor-borboleta;Hipopótamo;Montanhismo;Nacional Borbense;Particular;352;
id-0000036;Laís;Feminino;72;Divorciada;R197621813;50188020797;Visconde do Rio Branco;MG;Região Sudeste;0;1,60;110;Não Alérgica;Aquário;958218004;Celular;4G;lais_940@outlook.com;Banco do Brasil;322793;Visa;Não;TV aberta;Gosta;Gosta;Não;Própria;Construção Naval;V60;Volvo;205;Caldo de mocotó;Gosta;Ananás ;Beijo-de-frade;Avestruz;Esportes de Inverno;Coreia do Norte;Não;x;
id-0000037;Alessandra;Feminino;53;Solteira;M434081519;54405569046;Jenipapo Dos Vieiras;MA;Região Nordeste;1;1,90;106;Não Alérgica;Touro;914100339;Whatsapp;Não tem internet;alessandra@bol.com;Banco do Brasil;725996;American Express;Não;TV pela internet;Gosta;Gosta;Uma vez por mês;Alugada;Engenharia Bioquímica de Bioprocessos e Biotecnologia;QQ;Chery;77;Cachaça artesanal de qualidade;Gosta;Carambola ;Bastão-do-imperador;Dragão-de-Komodo;Tchoukball;América-MG;Particular;324;
id-0000038;Caio;Masculino;30;Casado;R064163105;78378522786;Marajá do Sena;MA;Região Nordeste;2;1,68;105;Não Alérgico;Aquário;928944269;Whatsapp;Banda Larga;caio_768@outlook.com;Bradesco;565703;Visa;Não;TV aberta;Não Gosta;Gosta;Não;Própria;Produção Cênica;X5;BMW;205;Rapadura;Não Gosta;Jambolão;Agapanto;Cão;Sem preferência;Mixto;Particular;520;
id-0000039;Ingrid;Feminino;72;Divorciada;M941531426;96720678891;Trindade do Sul;RS;Região Sul;4;1,84;77;Alérgica;Gêmeos;956495154;Celular;Não tem internet;ingrid_118@yahoo.com;Itaú;854188;Elo;Sim;TV pela internet;Não Gosta;Gosta;Não;Própria;Engenharia de Energia;GTB S2;Puma;225;Sorvete de cupuaçu;Não Gosta;Biribá;Beijo-turco;Rinoceronte;Bocha;Lazio;Pública;0;
id-0000040;Ilma;Feminino;30;Solteira;Y426342338;55114108727;Jacaré Dos Homens;AL;Região Nordeste;2;1,75;83;Alérgica;Peixes;934645844;Celular;Wifi;ilma@bol.com;Santander;770162;Hipercard;Não;TV aberta;Gosta;Não Gosta;Raramente;Própria;Agronegócios e Agropecuária;Idea;Fiat;321;Caldo de cana;Não Gosta;Umê;Mosquitinho;Ave-lira;Artes Marciais;São Francisco-AC;Pública;0;
id-0000041;Elijah;Masculino;70;Casado;W212782874;00072348419;Nova Mutum;MT;Região Centro-Oeste;3;1,81;78;Alérgico;Gêmeos;929445731;Whatsapp;Wifi;elijah_905@gmail.com;Santander;9288;Elo;Não;TV pela internet;Não Gosta;Não Gosta;Uma vez por mês;Própria;Sistemas para Internet;Candango;DKW-Vemag;286;Angú;Não Gosta;Massala;Alegria-dos-jardins;Équidnas;Patinação;São Francisco-AC;Particular;558;
id-0000042;Dinei;Masculino;25;Divorciado;Y997939290;57662558255;Borebi;SP;Região Sudeste;3;1,73;66;Não Alérgico;Capricórnio;946984231;Whatsapp;4G;dinei@uol.com;Itaú;622887;Diners Club;Não;TV por assinatura;Gosta;Gosta;Raramente;Emprestada;Agrimensura;R;Lobini;318;Manjar de coco;Gosta;Mangaba;Mussaenda-vermelha;Dugongo;Montanhismo;Tupy-ES;Pública;0;
id-0000043;Analu;Feminino;45;Divorciada;Y139141195;61245313934;Pirangi;SP;Região Sudeste;3;1,78;92;Não Alérgica;Peixes;968031129;Celular;Wifi;analu@gmail.com;Banco do Brasil;923343;Hipercard;Não;TV por assinatura;Não Gosta;Não Gosta;Toda semana;Emprestada;Odontologia;Lanos;Daewoo;296;Caldo de cana;Gosta;Guariroba;Açucena;Babuíno;Squash;União Cacoalense;Pública;0;
id-0000044;Roberta;Feminino;76;Solteira;Y947709569;81431932721;Capitólio;MG;Região Sudeste;0;1,79;110;Não Alérgica;Câncer;907257403;Whatsapp;4G;roberta@outlook.com;Santander;297751;Mastercard;Sim;TV aberta;Não Gosta;Gosta;Raramente;Emprestada;Produção Sucroalcooleira;Rexton;SsangYong;264;Doce de abóbora;Não Gosta;Graviola;Camélia;Mosquito;Automobilismo;Tapajós;Não;x;
id-0000045;Rodrigo;Masculino;80;Divorciado;R403069795;57629250449;São José do Bonfim;PB;Região Nordeste;0;1,62;107;Não Alérgico;Virgem;912400694;Whatsapp;4G;rodrigo@terra.com;Banco do Brasil;154213;Hipercard;Sim;TV aberta;Gosta;Gosta;Uma vez por mês;Alugada;Processos Químicos;GTB;Puma;182;Galinha à cabidela;Gosta;Goiaba ;Poinsétia;Barata;Deficientes;Sabiá;Não;x;
id-0000046;Genevieve;Feminino;55;Solteira;W298520662;90271057504;Consolação;MG;Região Sudeste;0;1,90;60;Não Alérgica;Sagitário;965750044;Celular;4G;genevieve_218@gmail.com;Itaú;537492;American Express;Não;TV pela internet;Gosta;Não Gosta;Raramente;Alugada;Geoprocessamento;LS;Lexus;219;Biscoito de polvilho;Não Gosta;Rambutão;Flor-borboleta;Ratazana;Montanhismo;Estrela do Norte;Não;x;
id-0000047;Roberta;Feminino;23;Divorciada;W298007296;98208544698;Barra de Santo Antônio;AL;Região Nordeste;0;1,71;98;Não Alérgica;Touro;974917633;Whatsapp;Não tem internet;roberta_767@outlook.com;Santander;774871;Diners Club;Não;TV pela internet;Não Gosta;Não Gosta;Uma vez por mês;Emprestada;Saneamento Ambiental;IEV 40;JAC;309;Caipirinha de cachaça;Gosta;Tomate ;Lírio;Lebre;Futevôlei;Carajás;Não;x;
id-0000048;Victor;Masculino;50;Casado;W478994547;89724052771;Buenópolis;MG;Região Sudeste;0;1,90;73;Alérgico;Sagitário;988196214;Celular;Wifi;victor_269@uol.com;Bradesco;903749;Elo;Não;TV pela internet;Gosta;Gosta;Toda semana;Emprestada;Oceanografia;Tiguan;Volkswagen;125;Pudim de leite condensado;Gosta;Banana;Jacinto;Tentilhão;Futebol Americano;Real Madrid;Não;x;
id-0000049;Sarah;Feminino;40;Casada;M374692515;63134700988;Buriti do Tocantins;TO;Região Norte;0;1,87;73;Alérgica;Libra;995586351;Celular;Wifi;sarah@bol.com;Bradesco;175702;Elo;Sim;TV aberta;Gosta;Não Gosta;Raramente;Alugada;Engenharia Bioquímica de Bioprocessos e Biotecnologia;CRX;Adamo;350;Baião de dois;Não Gosta;Durião;Maravilha;Jaguar;Bumerangue;Patrocinense;Não;x;
id-0000050;Aurelia;Feminino;33;Casada;Y740247327;65008604257;Sales;SP;Região Sudeste;1;1,91;75;Alérgica;Câncer;923235191;Celular;Não tem internet;aurelia@terra.com;Santander;827845;Elo;Não;TV por assinatura;Gosta;Não Gosta;Não;Emprestada;Turismo;VAZ- 2105 (Laika);Lada;235;Peixe assado na folha de bananeira;Gosta;Coco ;Sedum-vistoso;Hiena;Bodyboard;Honduras;Particular;336;
id-0000051;Vicente;Masculino;53;Divorciado;R655312016;06342253994;Lupionópolis;PR;Região Sul;0;1,88;85;Não Alérgico;Libra;989038765;Whatsapp;Banda Larga;vicente@yahoo.com;Itaú;597009;Visa;Sim;TV aberta;Gosta;Gosta;Raramente;Alugada;Gestão da Tecnologia da Informação;Lancer;Mitsubishi;311;Pudim de leite condensado;Gosta;Tomate ;Coreópsis;Musaranho;Tênis de Mesa;Canoas;Não;x;
id-0000052;Bruno;Masculino;47;Solteiro;W794983600;74946141198;Brasilândia do Sul;PR;Região Sul;4;1,93;87;Não Alérgico;Escorpião;963982178;Celular;Wifi;bruno_992@bol.com;Santander;456298;Visa;Não;TV por assinatura;Não Gosta;Não Gosta;Raramente;Alugada;Produção Cultural;1600;Volkswagen;243;Quebra queixo;Gosta;Amora;Amor-perfeito-dos-jardins;Jacaré;Biribol;Portugal;Particular;423;
id-0000053;Rogério;Masculino;32;Solteiro;M650195339;81681778081;Araxá;MG;Região Sudeste;2;1,98;65;Não Alérgico;Câncer;937226409;Celular;Wifi;rogerio@uol.com;Caixa Econômica;479315;Elo;Não;TV aberta;Não Gosta;Gosta;Uma vez por mês;Emprestada;Papel e Celulose;Suprema;Chevrolet;220;Café coado no filtro de pano;Não Gosta;Goiaba ;Rosa-louca;Tubarão;Diversos;Gana;Pública;0;
id-0000054;Gabriel;Masculino;54;Solteiro;M288754409;56551652932;Virgem da Lapa;MG;Região Sudeste;4;1,96;88;Alérgico;Virgem;924697239;Celular;4G;gabriel@yahoo.com;Santander;3093;Hipercard;Sim;TV pela internet;Não Gosta;Não Gosta;Toda semana;Própria;Design de Moda;Cruze;Chevrolet;251;Pitanga;Gosta;Pistache;Bastão-do-imperador;Cisne;Frisbee;Palmas;Pública;0;
id-0000055;Juliano;Masculino;24;Divorciado;W218780828;61229434875;Japonvar;MG;Região Sudeste;2;1,55;87;Alérgico;Libra;942083162;Whatsapp;Não tem internet;juliano_444@yahoo.com;Itaú;510669;Mastercard;Não;TV pela internet;Gosta;Não Gosta;Toda semana;Emprestada;Estudos de Gênero e Diversidade;2300 Executivo;Alfa Romeo;302;Sonho de padaria;Gosta;Mirtilo ;Begônia-cerosa;Gazela;Artes Marciais;River Plate-SE;Pública;0;
id-0000056;Elizabeth;Feminino;26;Divorciada;W080282229;85712658006;Pinhalão;PR;Região Sul;2;1,56;81;Alérgica;Leão;948013999;Whatsapp;Wifi;elizabeth@uol.com;Caixa Econômica;623998;Elo;Sim;TV por assinatura;Não Gosta;Gosta;Toda semana;Própria;Agronegócios e Agropecuária;Land Rover Discovery;Land Rover;190;Queijo coalho na brasa;Não Gosta;Pêra;Calêndula;Lagarta;Frisbee;Sul América;Particular;344;
id-0000057;Luiz Felipe;Masculino;43;Casado;W198952566;13649704987;São Sebastião do Tocantins;TO;Região Norte;2;1,90;110;Não Alérgico;Aquário;926780411;Celular;4G;luizfelipe_980@uol.com;Itaú;932733;Elo;Não;TV pela internet;Gosta;Gosta;Toda semana;Alugada;Engenharia da Computação;Country XK;SR Veículos Especiais;218;Bolo de rolo;Não Gosta;Jerivá;Bananeirinha-de-jardim;Burro	;Pólo Aquático;Joinville;Particular;464;
id-0000058;Maria Emília;Feminino;54;Casada;W707995371;19297025596;Bonópolis;GO;Região Centro-Oeste;1;1,96;96;Não Alérgica;Peixes;972736548;Whatsapp;4G;mariaemilia@outlook.com;Santander;483230;Elo;Não;TV por assinatura;Não Gosta;Não Gosta;Não;Própria;Engenharia Biomédica;City;Fiat;239;Caju castanha;Gosta;Guaraná;Cleome;Raposa;Diversos;Esporte de Patos;Particular;500;
